199,231
85,239
50,169
149,210
25,192
88,178
14,125
46,31
61,196
179,23
43,46
197,35
172,5
187,178
81,7
59,38
23,231
137,51
80,241
80,235
65,90
62,246
97,140
144,38
79,132
133,87
29,66
27,93
59,246
154,145
138,138
171,227
23,246
108,206
89,54
70,67
98,29
179,147
42,56
56,35
198,16
76,170
74,100
121,55
71,103
178,103
28,122
1,190
20,231
39,170
73,125
5,111
135,222
98,123
87,26
59,208
90,163
39,87
115,103
159,119
187,57
94,223
127,191
41,94
171,91
19,142
186,17
54,90
193,118
3,178
57,95
9,165
197,113
75,233
97,207
141,131
65,188
44,105
178,33
10,121
41,93
133,232
185,176
69,155
94,46
108,26
66,128
121,28
85,177
67,65
18,181
50,135
174,17
100,215
10,35
186,173
96,229
67,219
86,165
54,94
57,57
29,148
14,66
58,110
99,66
62,165
37,109
161,115
194,217
133,9
89,103
195,3
183,203
63,162
31,166
72,31
177,196
61,12
185,59
47,119
104,129
152,105
139,92
29,57
13,219
140,122
86,67
116,34
179,118
194,191
124,242
167,170
54,197
66,29
87,152
177,180
65,74
86,136
26,138
76,140
9,57
32,196
94,246
97,7
184,179
186,211
171,3
63,79
149,10
125,136
