47,244,165
76,104,72
157,79,143
102,77,231
37,9,126
89,74,106
110,67,162
70,54,116
124,183,65
193,37,200
36,102,161
93,231,82
184,240,26
108,210,39
12,28,150
113,157,222
28,180,166
171,79,183
118,62,162
179,212,240
114,64,133
2,194,99
32,213,138
63,91,147
27,70,118
79,167,63
181,98,46
94,164,121
114,6,116
188,96,63
112,13,141
174,133,31
33,205,98
170,58,46
90,145,168
191,44,232
26,221,105
51,155,106
150,203,220
51,52,24
135,104,180
135,24,178
130,205,47
13,247,195
51,214,162
45,90,160
153,3,233
117,163,218
182,198,9
133,11,214
199,77,49
197,26,208
143,65,150
49,24,166
199,185,219
147,135,187
1,49,97
103,162,167
40,199,123
87,174,233
198,127,150
66,118,178
45,62,130
139,96,3
123,172,113
38,142,223
38,200,114
170,189,43
54,164,108
78,44,4
96,63,133
199,168,100
107,69,47
68,187,168
130,193,15
137,36,17
184,191,213
4,90,141
35,229,97
57,130,39
119,51,30
67,204,55
120,98,230
177,49,8
189,84,214
50,207,194
68,216,59
51,154,86
36,30,228
18,143,102
37,73,58
181,69,144
108,238,96
70,221,136
57,107,93
158,1,244
166,147,77
8,162,38
8,125,81
99,135,54
156,140,37
48,74,70
84,84,81
120,174,174
79,206,194
9,112,158
126,102,197
39,206,190
13,222,198
61,201,85
170,103,236
175,10,219
5,78,121
69,215,200
121,182,229
90,147,134
79,105,92
92,144,221
22,193,140
132,98,243
156,240,129
154,203,246
111,163,136
32,57,121
186,171,238
147,203,150
103,135,239
49,33,105
148,210,195
61,225,87
113,9,54
8,153,158
119,74,64
55,137,173
6,208,127
191,203,79
159,81,8
160,189,229
92,161,132
64,146,124
76,34,246
93,240,132
131,120,118
34,17,24
188,103,40
45,119,84
87,250,41
76,175,209
111,123,206
25,49,16
